Município;IBGE - Código;IBGE - Gentílico;IBGE - Prefeito [2025];IBGE - Área Territorial - km² [2025];IBGE - População no último censo - pessoas [2022];IBGE - Densidade demográfica - hab/km² [2022];IBGE - População estimada - pessoas [2026];IBGE - Escolarização 6 a 14 anos - % [2022];IBGE - IDHM [2010];IBGE - Mortalidade infantil - óbitos por mil nascidos vivos [2025];IBGE - Total de receitas brutas realizadas - R$ [2025];IBGE - Total de despesas brutas empenhadas - R$ [2025];IBGE - PIB per capita - R$ [2023];TAXA LESÃO CORPORAL;TAXA AMEAÇA;Possui Delegacia da Mulher?;Possui CAPS?;Quantidade de CAPS;Modalidades de CAPS;Regional de Saúde;Macrorregional de Saúde;LESFEM - Feminicídios consumados 2025;LESFEM - Tentativas de feminicídio 2025;LESFEM - Total de registros 2025;LESFEM - Registros fonte Imprensa 2025;LESFEM - Registros fonte SINESP 2025;SENASP - Feminicídios consumados 2025;SENASP - Tentativas de feminicídio 2025;SENASP - Total vítimas feminicídio/tentativa 2025
CURITIBA;4106902;curitibano;EDUARDO PIMENTEL SLAVIERO;435,406;1773718;4078,53;1832183;98,48;0,823;8,12;14698202927;14541135876;67691,3;242,99;175,91;Sim;Sim;14;"CAPS II; CAPS III; CAPS AD; CAPS AD III; CAPS Infantil";2ª Regional de Saúde - Metropolitana (Curitiba);Leste;19;21;40;28;12;12;25;37
LONDRINA;4113700;londrinense;JOSÉ TIAGO CAMARGO DO AMARAL;1647,796;555965;336,42;584465;98,47;0,778;10,99;3938155556;4214542342;50362,05;234,68;208,62;Sim;Sim;3;"CAPS III; CAPS AD; CAPS Infantil";17ª Regional de Saúde - Londrina;Norte;1;5;6;5;1;1;2;3
CASCAVEL;4104808;cascavelense;RENATO DA SILVA;2094,263;348051;166,44;372026;99,15;0,782;8,35;2241214991;2132841227;55176,33;316,78;252,18;Sim;Sim;4;"CAPS III; CAPS AD; CAPS Infantil; SIMPR (CAPS AD III)";10ª Regional de Saúde - Cascavel;Oeste;4;9;13;12;1;4;5;9
COLOMBO;4105805;colombense;HELDER LUIZ LAZAROTTO;197,369;232212;1175,28;242698;98,49;0,733;12,18;1037699734;1027987752;32853,49;312,79;183,01;Não;Sim;2;"CAPS II; CAPS AD";2ª Regional de Saúde - Metropolitana (Curitiba);Leste;3;4;7;5;2;1;1;2
PONTA GROSSA;4119905;ponta-grossense;ELIZABETH SILVEIRA SCHMIDT;2044,902;358371;174,41;378527;99,12;0,763;8,92;2118843136;1869826766;71387,82;450,14;349,24;Sim;Sim;3;"CAPS II; CAPS AD; CAPS Infantil";3ª Regional de Saúde - Ponta Grossa;Leste;4;9;13;13;0;0;3;3
FOZ DO IGUACU;4108304;iguaçuense;JOAQUIM SILVA E LUNA;606,501;285415;468,51;299112;98,28;0,751;9,33;2267170483;2231385339;59468,67;269,77;194,59;Sim;Sim;2;"CAPS II; CAPS AD";9ª Regional de Saúde - Foz do Iguaçu;Oeste;7;5;12;9;3;3;2;5
SAO JOSE DOS PINHAIS;4125506;são-joseense;MARGARIDA MARIA SINGER;945,509;329628;348,28;353874;99,06;0,758;8,11;2580590888;2390935588;103019,05;319,13;223,06;Sim;Sim;3;"CAPS II; CAPS AD; CAPS Infantil";2ª Regional de Saúde - Metropolitana (Curitiba);Leste;3;2;5;5;0;3;3;6
MARINGA;4115200;maringaense;SILVIO MAGALHAES BARROS II;487,912;409657;841,16;432635;99,3;0,808;7,95;3497693161;3050775629;67903,99;172,58;144,47;Sim;Sim;4;"CAPS II; CAPS III; CAPS AD; CAPS Infantil";15ª Regional de Saúde - Maringá;Noroeste;1;7;8;8;0;1;2;3
PARANAGUA;4118204;parnanguara;ADRIANO RAMOS;821,427;145829;177,23;150436;98,86;0,75;16,4;1277499148;1124542976;104860,51;504,34;348,80;Não;Sim;1;CAPS I;1ª Regional de Saúde - Paranaguá;Leste;3;3;6;5;1;2;3;5
GUARAPUAVA;4109401;guarapuavano;DENILSON BAITALA;3163,893;182093;57,48;190542;98,85;0,731;13,1;1143971739;998543969,1;54170,74;418,25;339,83;Sim;Sim;4;"CAPS II; CAPS AD; SIMPR (CAPS AD III); CAPS Infantil";5ª Regional de Saúde - Guarapuava;Leste;0;7;7;6;1;0;4;4
PIRAQUARA;4119509;piraquarense;MARCUS MAURICIO DE SOUZA TESSEROLLI;225,065;118730;522,94;129035;99,19;0,7;10,3;583128318,6;525721759,6;16015,58;446,85;247,82;Não;Sim;2;"CAPS II; CAPS AD";2ª Regional de Saúde - Metropolitana (Curitiba);Leste;2;3;5;2;3;1;2;3
ALMIRANTE TAMANDARE;4100400;tamandareense;CAMILO DANIEL LOVATO;193,736;119825;616,93;127031;98,36;0,699;14,49;469814308,5;432867643,6;18715,79;322,31;215,88;Não;Sim;1;CAPS II;2ª Regional de Saúde - Metropolitana (Curitiba);Leste;2;3;5;4;1;1;2;3
FAZENDA RIO GRANDE;4107652;fazendense;MARCO ANTONIO MARCONDES SILVA;116,41;148873;1275,93;170123;99,08;0,72;8,04;842879714,4;707851588,6;27805,32;272,80;251,08;Não;Sim;1;CAPS II;2ª Regional de Saúde - Metropolitana (Curitiba);Leste;0;1;1;0;1;0;1;1
ARAUCARIA;4101804;araucariano;LUIZ GUSTAVO BOTOGOSKI;469,549;151666;323,22;164291;99,26;0,74;9,4;2122533669;1768143609;224671,66;369,17;330,90;Sim;Sim;2;"CAPS II; CAPS AD";2ª Regional de Saúde - Metropolitana (Curitiba);Leste;2;5;7;3;4;1;5;6
PATO BRANCO;4118501;pato-branquense;GERI NATALINO DUTRA;539,154;91836;170,35;99041;98,67;0,782;8,59;735827016,9;670537492,7;63350,93;343,92;181,94;Sim;Sim;1;CAPS II;7ª Regional de Saúde - Pato Branco;Oeste;2;3;5;4;1;1;1;2
FRANCISCO BELTRAO;4108403;beltronense;ANTONIO PEDRON;731,379;96666;131,5;103424;98,78;0,774;11,81;693880249;658221201,5;46814,84;442,18;333,91;Sim;Sim;2;"CAPS II; CAPS AD";8ª Regional de Saúde - Francisco Beltrão;Oeste;3;4;7;6;1;2;2;4
PINHAIS;4119152;pinhaiense;ROSA MARIA DE JESUS COLOMBO;61,008;127019;2086,76;131857;98,66;0,751;12,47;910297638,8;920673932,3;77567,93;407,45;319,17;Não;Sim;2;"CAPS II; CAPS AD";2ª Regional de Saúde - Metropolitana (Curitiba);Leste;0;1;1;1;0;0;0;0
CAMPO LARGO;4104204;campo-larguense;MAURICIO ROBERTO RIVABEM;1239,801;136327;109,63;146002;99,35;0,745;12,8;894777800,3;818350242,6;51863,48;266,03;207,98;Não;Sim;2;"CAPS II; CAPS AD";2ª Regional de Saúde - Metropolitana (Curitiba);Leste;1;3;4;3;1;1;1;2
TOLEDO;4127700;toledano;MARIO CESAR COSTENARO;1197,223;150470;125,6;162658;99,68;0,768;11,66;1235679207;1168779403;63192,47;220,50;218,66;Sim;Sim;3;"CAPS II; CAPS AD; SIMPR (CAPS AD III)";20ª Regional de Saúde - Toledo;Oeste;2;0;2;2;0;2;0;2
UMUARAMA;4128104;umuaramense;ANTONIO FERNANDO SCANAVACA;1233,997;117095;94,85;124077;99,19;0,761;13,9;864268791,6;810217868,7;43528,72;219,94;176,57;Sim;Sim;2;"CAPS II; CAPS AD";12ª Regional de Saúde - Umuarama;Noroeste;0;2;2;1;1;0;2;2
MATINHOS;4115705;matinhense;EDUARDO ANTONIO DALMORA;117,479;39259;332,99;42671;98,92;0,743;12,66;378581278,8;314697653,9;29246,91;316,01;190,18;Não;Sim;1;CAPS I;1ª Regional de Saúde - Paranaguá;Leste;1;2;3;2;1;1;1;2
CAMBE;4103701;cambeense;CONRADO ANGELO SCHELLER;499,583;107208;216,42;111553;98,22;0,734;15,36;675580273,3;623183219,9;63159,21;568,65;438,92;Não;Sim;2;"CAPS II; CAPS Infantil";17ª Regional de Saúde - Londrina;Norte;1;1;2;1;1;1;1;2
UNIAO DA VITORIA;4128203;união-vitoriense;ARY CARNEIRO JUNIOR;727,443;55033;76,43;56701;98,74;0,74;8,51;344202402,9;356215245;40400,71;234,71;161,01;Sim;Sim;1;CAPS I;6ª Regional de Saúde - União da Vitória;Leste;1;0;1;1;0;0;0;0
SARANDI;4126256;sarandiense;CARLOS ALBERTO DE PAULA JÚNIOR;103,942;118455;1144,48;130211;97,99;0,695;12,33;606726068,9;493138575,4;20249,8;643,42;485,31;Não;Sim;1;CAPS II;15ª Regional de Saúde - Maringá;Noroeste;1;3;4;4;0;1;1;2
GUARATUBA;4109609;guaratubano;MAURICIO LENSE;1320,951;42062;31,7;45529;98,46;0,717;11,81;1155762112;336228650,6;29027,37;214,44;159,34;Não;Sim;1;CAPS I;1ª Regional de Saúde - Paranaguá;Leste;0;1;1;1;0;0;0;0
APUCARANA;4101408;apucaranense;RODOLFO MOTA DA SILVA;556,771;130134;233,64;135481;99,57;0,748;15,04;739554957,7;675331117,3;37146,42;230,85;210,60;Sim;Sim;2;"CAPS AD; CAPS Infantil";16ª Regional de Saúde - Apucarana;Norte;1;6;7;6;1;0;4;4
ARAPONGAS;4101507;araponguense;RAFAEL FELIPE CITA;383,37;119138;311,7;125767;96,34;0,748;10,62;764425062,6;692792099,7;47973,54;796,67;566,52;Não;Sim;2;"CAPS II; CAPS AD";16ª Regional de Saúde - Apucarana;Norte;1;10;11;9;2;1;7;8
CAMPO MOURAO;4104303;mourãoense;JOÃO DOUGLAS FABRÍCIO;748,054;99432;132,64;104881;99,15;0,757;7,35;766399909,9;716266360,6;60261,36;239,51;226,95;Sim;Sim;2;"CAPS II; CAPS AD";11ª Regional de Saúde - Campo Mourão;Noroeste;2;1;3;3;0;0;0;0
PONTAL DO PARANA;4119954;pontalense;RUDISNEY GIMENES FILHO;202,242;30425;151,81;33730;94,03;0,738;11,33;277495409,9;247018312,5;26613,26;274,31;184,95;Não;Não;0;;1ª Regional de Saúde - Paranaguá;Leste;0;4;4;2;2;0;3;3
PARANAVAI;4118402;paranavaiense;MAURÍCIO GEHLEN;1197,394;92001;76,52;96870;98,33;0,763;10,38;582412420,7;557566945,6;45540,43;609,47;602,44;Sim;Sim;3;"CAPS II; CAPS AD; CAPS Infantil";14ª Regional de Saúde - Paranavaí;Noroeste;1;0;1;1;0;1;0;1
PALMAS;4117602;palmense;DANIEL RICARDO LANGARO;1561,474;48247;30,97;50564;97,91;0,66;17,52;255520292,1;237432831,4;35819,06;394,39;250,83;Não;Sim;1;CAPS I;7ª Regional de Saúde - Pato Branco;Oeste;0;3;3;2;1;0;1;1
ROLANDIA;4122404;rolandense;AILTON APARECIDO MAÍSTRO;456,228;71670;156,14;76671;99,03;0,739;10,5;524577557,3;441230915,2;64220,79;635,12;491,91;Não;Sim;3;"CAPS II; CAPS AD; CAPS Infantil";17ª Regional de Saúde - Londrina;Norte;1;1;2;1;1;1;1;2
CAMPO MAGRO;4104253;campomagrense;RILTON BOZA;275,423;30160;109,53;32227;99,22;0,701;9,46;177432182;159354602,2;23228,87;437,67;208,94;Não;Sim;1;CAPS I;2ª Regional de Saúde - Metropolitana (Curitiba);Leste;0;0;0;0;0;0;0;0
MEDIANEIRA;4115804;medianeirense;ANTONIO FRANÇA BENJAMIM;326,67;54369;165,39;58681;90,75;0,763;6,02;383438095,8;349550303,1;55318,22;460,02;285,01;Não;Sim;1;CAPS I;9ª Regional de Saúde - Foz do Iguaçu;Oeste;1;1;2;1;1;1;1;2
IRATI;4110706;iratiense;EMILIANO AUGUSTO ROCHA GOMES;1000,188;59250;59,28;61192;99,85;0,726;10,23;370020324,7;322700932,9;47529,86;243,99;155,14;Não;Sim;1;CAPS II;4ª Regional de Saúde - Irati;Leste;1;0;1;1;0;1;0;1
LAPA;4113205;lapeano;DIEGO TIMBIRUSSU RIBAS;2100,392;45003;21,49;45877;99,21;0,706;5,66;382707093,8;293770343;58830,87;388,09;304,77;Não;Sim;1;CAPS I;2ª Regional de Saúde - Metropolitana (Curitiba);Leste;0;0;0;0;0;0;0;0
DOIS VIZINHOS;4107207;duovizinhense;LUIS CARLOS TURATTO;418,162;44869;107,18;48127;99,79;0,767;7,56;363664630,6;347779471,9;58150,9;227,72;206,78;Não;Sim;1;CAPS I;8ª Regional de Saúde - Francisco Beltrão;Oeste;0;1;1;1;0;0;1;1
CAMPINA GRANDE DO SUL;4104006;campinense-do-sul;LUIZ CARLOS ASSUNÇÃO;542,239;47825;88,69;51154;99,44;0,718;10,1;393083890,4;300962964,2;60047,41;328,11;249,52;Não;Sim;1;CAPS I;2ª Regional de Saúde - Metropolitana (Curitiba);Leste;0;1;1;0;1;0;1;1
CIANORTE;4105508;cianortense;MARCO ANTONIO FRANZATO;807,796;79527;97,98;83579;98,96;0,755;17,7;669484535;622962263,6;50130,1;195,89;151,43;Sim;Sim;2;"CAPS I; CAPS Infantil";13ª Regional de Saúde - Cianorte;Noroeste;0;0;0;0;0;0;0;0
IBIPORA;4109807;ibiporanense;JOSÉ MARIA FERREIRA;298,998;51603;173,31;53486;99,41;0,726;17,19;477919371,1;433405826,8;78248,45;323,53;281,78;Não;Sim;2;"CAPS I; CAPS Infantil";17ª Regional de Saúde - Londrina;Norte;1;1;2;2;0;1;0;1
TELEMACO BORBA;4127106;telêmaco-borbense;RITA MARA DE PAULA ARAUJO;1379,02;75042;54,27;77798;98,93;0,734;12,87;539793198,2;427301390,4;85411,18;296,08;353,71;Não;Sim;1;CAPS I;21ª Regional de Saúde - Telêmaco Borba;Leste;0;0;0;0;0;0;0;0
MARECHAL CANDIDO RONDON;4114609;rondonense;ADRIANO BACKES;743,593;55836;74,87;59291;98,07;0,774;6,75;493320107,1;481924790,5;70187,82;760,61;557,44;Não;Não;0;;20ª Regional de Saúde - Toledo;Oeste;0;8;8;5;3;0;5;5
CASTRO;4104907;castrense;REINALDO CARDOSO;2526,498;73075;28,87;76015;98,92;0,703;16,02;541290252;518544004,4;61820,06;244,31;259,69;Não;Sim;1;CAPS I;3ª Regional de Saúde - Ponta Grossa;Leste;0;4;4;2;2;0;2;2
RIO BRANCO DO SUL;4122206;rio-branquense;KARIME FAYAD;820,071;37558;46,29;40745;94,64;0,679;20,53;264497389,6;245828659,6;49279,13;443,39;297,70;Não;Sim;1;CAPS I;2ª Regional de Saúde - Metropolitana (Curitiba);Leste;2;0;2;2;0;2;0;2
LARANJEIRAS DO SUL;4113304;laranjeirense-do-sul;JAISON RODRIGO MENDES;677,933;32227;47,84;33267;98,79;0,706;19,48;216031438,5;203375103,1;38195,42;252,67;235,70;Não;Sim;1;CAPS I;5ª Regional de Saúde - Guarapuava;Leste;1;1;2;1;1;1;0;1
QUEDAS DO IGUACU;4120903;quedas-iguaçuense;RAFAEL CIRYLLO CHIAPETTI ALVES DE MOURA;822,345;30738;37,42;31431;98,28;0,681;17,07;194562589,8;171987440,1;62721,88;347,29;287,23;Não;Não;0;;10ª Regional de Saúde - Cascavel;Oeste;1;0;1;1;0;0;0;0
ASSIS CHATEAUBRIAND;4102000;assis-chateaubriense;MARCEL HENRIQUE MICHELETTO;980,816;36808;37,53;38591;99,74;0,729;4,77;301647063,8;277018942,7;55252,41;288,20;173,80;Não;Sim;1;CAPS I;20ª Regional de Saúde - Toledo;Oeste;0;0;0;0;0;0;0;0
PAICANDU;4117503;paiçanduense;ISMAEL BATISTA;170,824;45962;268,19;49694;99,64;0,716;14,83;217093742,8;209745008,5;29205,9;426,92;279,14;Não;Sim;1;CAPS I;15ª Regional de Saúde - Maringá;Noroeste;1;1;2;2;0;1;1;2
MORRETES;4116208;morretense;SEBASTIÃO BRINDAROLLI JUNIOR;686,489;18309;26,74;19248;98,6;0,686;5,18;137204513;119980563,2;29204,87;233,42;155,61;Não;Não;0;;1ª Regional de Saúde - Paranaguá;Leste;0;0;0;0;0;0;0;0
LOANDA;4113502;loandense;JOSE MARIA PEREIRA FERNANDES;722,091;23225;32,15;24090;98,56;0,725;6,67;185192756,3;175167390,1;39155,41;346,36;301,95;Não;Sim;1;CAPS I;14ª Regional de Saúde - Paranavaí;Noroeste;0;1;1;0;1;0;1;1
ITAPERUCU;4111258;itaperuçuense;EDILSON RUIZ DE FREITAS;322,553;31217;96,65;33763;98,61;0,637;11,6;157253575,4;140383695,4;25618,02;449,98;265,17;Não;Sim;1;CAPS I;2ª Regional de Saúde - Metropolitana (Curitiba);Leste;0;0;0;0;0;0;0;0
IMBITUVA;4110102;imbituvense;BERTOLDO ROVER;758,099;29924;39,55;30940;99,12;0,66;20,18;214297093,7;179022148,4;50241,2;417,13;240,04;Não;Sim;1;CAPS I;4ª Regional de Saúde - Irati;Leste;0;1;1;1;0;0;0;0
SANTO ANTONIO DA PLATINA;4124103;platinense;GILSON DE JESUS ESTEVES;720,385;44369;61,5;45730;99,04;0,718;8,33;251133278,4;213079778,7;41422,7;319,60;357,95;Não;Sim;1;CAPS I;19ª Regional de Saúde - Jacarezinho;Norte;0;2;2;1;1;0;1;1
CORONEL VIVIDA;4106506;coronel-vividense;ANDERSON MANIQUE BARRETO;683,799;23331;34,09;24107;99,54;0,723;12,86;203020322,1;191610226,1;47552,24;371,35;183,76;Não;Sim;2;"CAPS I; SIMPR (CAPS AD III)";7ª Regional de Saúde - Pato Branco;Oeste;0;0;0;0;0;0;0;0
BANDEIRANTES;4102406;bandeirantense;JAELSON RAMALHO MATTA;445,192;31273;70,25;31690;99,78;0,727;11,36;174530167,1;165220312,5;43559,41;417,78;314,41;Não;Sim;1;CAPS I;18ª Regional de Saúde - Cornélio Procópio;Norte;0;1;1;0;1;0;1;1
JAGUARIAIVA;4112009;jaguariaivense;JOSÉ SLOBODA;1443,264;35141;24,18;36575;100;0,743;14,35;290196402,9;245252706,8;58693,11;291,85;228,01;Não;Sim;1;CAPS I;3ª Regional de Saúde - Ponta Grossa;Leste;0;0;0;0;0;0;0;0
CHOPINZINHO;4105409;chopinzinhense;ÁLVARO DÊNIS CENI SCOLARO;961,682;21085;21,97;21690;98,89;0,74;8,9;221727748,4;198042306,3;56739,86;577,17;312,63;Não;Sim;1;CAPS I;7ª Regional de Saúde - Pato Branco;Oeste;1;0;1;1;0;1;0;1
SAO MIGUEL DO IGUACU;4125704;são-miguelense;BOAVENTURA MANOEL JOAO MOTTA;852,133;29122;34,18;30624;98,88;0,704;14,15;278990864,3;281192025,6;50972,2;331,31;265,05;Não;Sim;1;CAPS I;9ª Regional de Saúde - Foz do Iguaçu;Oeste;1;0;1;1;0;1;0;1
SAO MATEUS DO SUL;4125605;são-mateuense;FERNANDA GARCIA SARDANHA;1344,742;42366;31,58;43558;98,93;0,719;15,38;337409303,5;297220266,2;45653,17;287,52;345,03;Não;Sim;1;CAPS I;6ª Regional de Saúde - União da Vitória;Leste;1;0;1;1;0;1;0;1
JACAREZINHO;4111803;jacarezinhense;MARCELO JOSE BERNARDELI PALHARES;603,383;40375;67,01;41571;100;0,743;17,54;264051457,6;250134791,4;48470,43;123,26;155,69;Sim;Sim;2;"CAPS II; CAPS AD";19ª Regional de Saúde - Jacarezinho;Norte;0;3;3;3;0;0;0;0
IVAIPORA;4111506;ivaiporãnense;LUIZ CARLOS GIL;436,378;32720;74,88;33619;99,92;0,73;20,57;225809732;206047646,7;34910,34;393,29;426,76;Não;Sim;1;CAPS I;22ª Regional de Saúde - Ivaiporã;Norte;0;2;2;2;0;0;0;0
CORNELIO PROCOPIO;4106407;procopense;RAPHAEL DIAS SAMPAIO;636,59;45206;71,18;45614;99,73;0,759;8,77;276716362,5;228726584,2;52697,46;393,35;397,54;Sim;Sim;2;"CAPS II; SIMPR (CAPS AD III)";18ª Regional de Saúde - Cornélio Procópio;Norte;0;0;0;0;0;0;0;0
PRUDENTOPOLIS;4120606;prudentopolitano;ADELMO LUIZ KLOSOWSKI;2257,861;49393;21,98;50988;99,79;0,676;14,33;316549535,3;266029453,5;38587,32;157,95;202,11;Não;Sim;2;"CAPS I; CAPS AD";5ª Regional de Saúde - Guarapuava;Leste;1;2;3;3;0;0;0;0
PALMEIRA;4117701;palmeirense;ALTAMIR SANSON;1473,233;33855;23,03;35054;98,41;0,718;11,14;277290273,9;267196311,3;65573,86;303,22;316,26;Não;Sim;1;CAPS I;3ª Regional de Saúde - Ponta Grossa;Leste;1;1;2;2;0;1;0;1
GOIOERE;4108601;goio-erense;PEDRO ANTÔNIO DE OLIVEIRA COELHO;563,954;28437;50,41;28895;99;0,731;6,43;209680777,8;180905289,1;46969,32;355,67;271,53;Não;Sim;1;CAPS I;11ª Regional de Saúde - Campo Mourão;Noroeste;0;1;1;1;0;0;0;0
GUAIRA;4108809;guairense;GILEADE GABRIEL OSTI;563,414;32097;56,94;33145;99,39;0,724;12,82;288328733,2;274877422,7;44828,06;186,28;216,65;Não;Sim;1;CAPS I;20ª Regional de Saúde - Toledo;Oeste;2;0;2;2;0;2;0;2
COLORADO;4105904;colorado;ROSIMEIRE CHIQUIM;408,533;22896;56,18;23347;99,08;0,73;18,38;208040253,6;185191741,4;51174,35;463,52;302,30;Não;Sim;1;CAPS I;15ª Regional de Saúde - Maringá;Noroeste;0;0;0;0;0;0;0;0
QUATRO BARRAS;4120804;quatro-barrense;LORENO BERNARDO TOLARDO;181,565;24191;134,04;25663;99,49;0,742;7,63;254517278,2;212862940,3;96572,32;377,52;230,70;Não;Sim;1;CAPS I;2ª Regional de Saúde - Metropolitana (Curitiba);Leste;0;1;1;1;0;0;0;0
PALOTINA;4117909;palotinense;RODRIGO RIBEIRO;651,237;35011;53,76;37431;98,98;0,768;8,52;364981615,9;317270992,5;105626,67;585,07;476,22;Não;Sim;1;CAPS I;20ª Regional de Saúde - Toledo;Oeste;1;1;2;0;2;1;1;2
CAFELANDIA;4103453;cafelandense;JUNIOR MOTTER;275,17;18997;69,1;20411;99,11;0,748;9,35;192122359,9;170624226;142008,42;274,10;175,03;Não;Não;0;;10ª Regional de Saúde - Cascavel;Oeste;0;0;0;0;0;0;0;0
SANTA HELENA;4123501;santa-helenense;CLADEMAR JOAO MARASKIN;753,997;25492;33,78;26601;98,25;0,744;7,81;417126651,8;388031552,6;64374,87;279,50;167,02;Não;Não;0;;20ª Regional de Saúde - Toledo;Oeste;1;1;2;0;2;1;1;2
SANTO ANTONIO DO SUDOESTE;4124400;santo-antoniense;RICARDO ANTONIO ORTINA;327,008;23673;72,69;25273;98,67;0,671;7,46;174754636,4;156721911,3;33999,34;444,22;388,69;Não;Sim;1;CAPS I;8ª Regional de Saúde - Francisco Beltrão;Oeste;0;1;1;0;1;0;1;1
CLEVELANDIA;4105706;clevelandense;RAFAELA MARTINS LOSI;703,973;15070;21,42;14699;88,72;0,694;9,48;147664200,6;116918379,2;60754,81;227,12;221,37;Não;Não;0;;7ª Regional de Saúde - Pato Branco;Oeste;0;0;0;0;0;0;0;0
ANTONINA;4101200;antoninense;ROZANE MARISTELA BENEDETTI OSAKI;890,065;18091;20,29;18091;99,12;0,687;28,25;178795153,7;146902815,1;55368,68;608,30;423,50;Não;Não;0;;1ª Regional de Saúde - Paranaguá;Leste;0;0;0;0;0;0;0;0
MANDAGUARI;4114203;mandaguariense;IVONÉIA DE ANDRADE APARECIDO FURTADO;335,912;36716;109,33;38564;98,39;0,751;10,89;279247950,9;225668582,8;79434,03;198,31;174,83;Não;Sim;1;CAPS I;15ª Regional de Saúde - Maringá;Noroeste;0;0;0;0;0;0;0;0
CRUZEIRO DO OESTE;4106605;cruzeirense;ARMANDO CERCI JUNIOR;776,101;23831;30,71;25071;100;0,717;8,23;165776354,2;139270272,3;45708,09;179,05;198,41;Não;Não;0;;12ª Regional de Saúde - Umuarama;Noroeste;0;0;0;0;0;0;0;0
PITANGA;4119608;pitanguense;DIRCEU MORAES;1687,454;33567;20,18;34583;98,85;0,702;12,66;234570619,8;192765995,8;43017,52;195,84;193,15;Não;Sim;1;CAPS I;5ª Regional de Saúde - Guarapuava;Leste;0;2;2;1;1;0;1;1
MARMELEIRO;4115408;marmeleirense;JANDER LUIZ LOSS;388,538;15901;41,02;16728;98,9;0,722;10,15;119834378,7;102864523,9;46437,51;661,63;372,75;Não;Sim;2;"CAPS I; SIMPR (CAPS AD III)";8ª Regional de Saúde - Francisco Beltrão;Oeste;1;0;1;1;0;1;0;1
BELA VISTA DO PARAISO;4102802;bela-vistense;FABRICIO PASTORE;246,225;14833;61,12;14967;96,56;0,716;5,81;123779050,7;109747736,6;38026,96;456,94;360,41;Não;Sim;1;CAPS I;17ª Regional de Saúde - Londrina;Norte;0;0;0;0;0;0;0;0
SANTA TEREZINHA DE ITAIPU;4124053;itaipuense;ANTONIO LUIZ BENDO;270,949;24262;90,44;25510;99,34;0,738;13,56;204350983;181993660,3;31536,73;190,56;243,03;Não;Sim;1;CAPS I;9ª Regional de Saúde - Foz do Iguaçu;Oeste;0;0;0;0;0;0;0;0
UBIRATA;4128005;ubiratense;FABIO DE OLIVEIRA DALECIO;653,097;24749;37,92;25928;99,32;0,739;9,52;218403436,3;207894915,8;86060,93;213,84;176,11;Não;Sim;1;CAPS I;11ª Regional de Saúde - Campo Mourão;Noroeste;0;0;0;0;0;0;0;0
ANDIRA;4101101;andiraense;EDNYRA APARECIDA SANCHES BUENO DE GODOY FERREIRA;234,635;19878;84,25;19944;99,54;0,725;10;167255793,6;157767520;43322,9;157,13;194,11;Não;Sim;1;CAPS I;18ª Regional de Saúde - Cornélio Procópio;Norte;0;2;2;1;1;0;1;1
REALEZA;4121406;realezense;PAULO CEZAR CASARIL;353,922;19247;54,46;20276;98,02;0,722;4,08;146118294;127531680,9;49825,25;195,48;189,64;Não;Sim;1;CAPS I;8ª Regional de Saúde - Francisco Beltrão;Oeste;0;1;1;1;0;0;0;0
AMPERE;4101002;amperense;DOUGLAS DIEMS MOROCKOSKI POTRICH;297,174;19620;65,76;20479;94,47;0,709;10,38;156853028,3;131882428,7;51028,26;342,00;222,82;Não;Não;0;;8ª Regional de Saúde - Francisco Beltrão;Oeste;0;0;0;0;0;0;0;0
FAXINAL;4107603;faxinalense;HERMES ANTONIO SANTA ROSA;716,804;16389;22,89;16548;99,29;0,687;21,93;120492942,9;108677303,7;38140,13;436,92;410,03;Não;Não;0;;16ª Regional de Saúde - Apucarana;Norte;0;2;2;0;2;0;2;2
BITURUNA;4102901;biturenense;RODRIGO ROSSONI;1280,76;15533;12,58;15615;98,35;0,667;12,1;163631431,3;148927752;42256,96;486,24;314,18;Não;Não;0;;6ª Regional de Saúde - União da Vitória;Leste;0;0;0;0;0;0;0;0
RIO NEGRO;4122305;rio-negrense;ALESSANDRO CRISTIAN VON LINSINGEN;604,477;31324;51,85;31954;99,1;0,76;7,02;236572880,9;200580216,1;46487,19;455,29;362,81;Não;Sim;1;CAPS I;2ª Regional de Saúde - Metropolitana (Curitiba);Leste;0;0;0;0;0;0;0;0
NOVA LONDRINA;4117107;nova-londrinense;LUIZ GUSTAVO MAIOR BONO;272,27;12923;47,97;13065;97,58;0,758;-;121181179,8;107072305,9;55592,2;317,04;287,31;Não;Não;0;;14ª Regional de Saúde - Paranavaí;Noroeste;0;0;0;0;0;0;0;0
PIRAI DO SUL;4119400;piraiense;HENRIQUE DE OLIVEIRA CARNEIRO;1349,154;23651;17,58;23991;99,41;0,708;6,71;193483130,3;180770944,7;60939,33;385,93;263,42;Não;Sim;1;CAPS I;3ª Regional de Saúde - Ponta Grossa;Leste;0;1;1;1;0;0;1;1
PINHAO;4119301;pinhãoense;VALDECIR BIASEBETTI;2003,799;29886;14,93;30431;98,19;0,654;10,46;222869572,6;197543537,6;61938,97;308,61;284,12;Não;Sim;1;CAPS I;5ª Regional de Saúde - Guarapuava;Leste;0;0;0;0;0;0;0;0
